function,fc,fs,ss,pcii
audit_update_lsm_rules,0,11,1017,1.08161
update_lsm_rule,0,52,1017,5.11308
audit_filter,88.41,69,1017,0.786342
audit_compare_dname_path,57.69,26,1017,1.08167
parent_len,92.31,13,1017,0.0982989
audit_gid_comparator,30.77,26,1017,1.76989
audit_uid_comparator,30.77,26,1017,1.76989
audit_comparator,22.22,18,1017,1.37664
audit_list_rules_send,92.98,57,1017,0.393451
audit_rule_change,83.33,24,1017,0.393392
audit_log_rule_change,100,13,1017,0
audit_list_rules,96.15,26,1017,0.0984267
audit_del_rule,100,32,1017,0
audit_add_rule,65.52,58,1017,1.96641
audit_find_rule,83.33,24,1017,0.393392
audit_dupe_rule,56.92,65,1017,2.75339
audit_dupe_lsm_field,0,10,1017,0.983284
audit_compare_rule,100,30,1017,0
audit_krule_to_data,67.69,65,1017,2.06504
audit_pack_string,100,5,1017,0
audit_data_to_entry,67.74,124,1017,3.93337
audit_field_valid,40.62,32,1017,1.8684
audit_to_entry_common,75,44,1017,1.08161
audit_match_signal,100,13,1017,0
audit_match_class_bits,100,5,1017,0
audit_match_class,0,5,1017,0.491642
audit_to_inode,0,7,1017,0.688299
audit_unpack_string,100,11,1017,0
audit_init_entry,81.82,11,1017,0.196637
audit_free_rule_rcu,100,4,1017,0
audit_free_rule,100,12,1017,0
audit_free_lsm_field,100,6,1017,0
put_net,0,8,1017,0.786627
audit_register_class,0,14,1017,1.3766
kzalloc_noprof,100,5,1017,0
kmalloc_array_noprof,83.33,6,1017,0.0983481
__refcount_sub_and_test,0,17,1017,1.67158
__refcount_add,92.86,14,1017,0.0982891
__list_add_rcu,100,11,1017,0
__list_del_entry,100,12,1017,0
__list_add,100,6,1017,0